id,fk_user,price,creation_date,address
0,48,0,2022-09-01,"957 Payne Vista Stevensberg, AR 33620"
1,85,0,2022-09-19,"8008 Chase Shores Weaverchester, LA 41097"
2,30,0,2022-09-07,"8475 Todd Branch Apt. 782 South Rebecca, CT 09682"
3,20,0,2022-09-03,"52625 Sanders Point New Brianton, NC 11056"
4,10,0,2022-09-16,"8706 Porter Mountains Apt. 761 Andersonfort, MA 15919"
5,46,0,2022-09-18,"1074 Jesse Plaza Arellanostad, LA 85781"
6,34,0,2022-09-12,"196 Santos Mission Medinamouth, ME 59458"
7,97,0,2022-09-19,"80131 Morse Squares Apt. 941 Paceton, SD 82823"
8,34,0,2022-09-02,"278 Aimee Overpass Suite 774 Travisview, OK 51064"
9,37,0,2022-09-07,"219 Michael Streets Mcculloughburgh, TN 05180"
10,29,0,2022-09-05,"7956 Stephen Point West Brandi, OR 25530"
11,89,0,2022-09-02,"32204 Henderson Forest Apt. 841 Wallacefort, RI 60678"
12,25,0,2022-09-03,"5936 Wise Fall Suite 764 Port Kristinmouth, SC 88829"
13,86,0,2022-09-12,"61158 Mcdonald Corner Youngstad, NY 47014"
14,76,0,2022-09-08,"597 Freeman Viaduct West Stephanie, NJ 89098"
15,66,0,2022-09-10,"33642 Diane Summit Suite 216 North Jenniferberg, MA 65570"
16,47,0,2022-09-17,"000 Young Plains Lake Jamesville, MI 27818"
17,55,0,2022-09-04,Unit 8978 Box 1355 DPO AE 82427
18,13,0,2022-09-07,"33150 Rodriguez Springs Suite 797 Mcguiretown, NV 58581"
19,8,0,2022-09-17,"5831 Zhang Drive Suite 928 Jefferystad, MD 61537"
20,31,0,2022-09-05,USS Rojas FPO AE 70008
21,78,0,2022-09-10,"883 Felicia Cove Apt. 032 Robintown, DE 45974"
22,58,0,2022-09-06,"65307 Lucas Ferry East Danielleburgh, WV 38988"
23,10,0,2022-09-10,"8187 Richardson Mission Apt. 098 Joshuabury, IA 95843"
24,24,0,2022-09-17,"607 Smith Squares Apt. 200 Lake Cheryl, CT 93040"
25,96,0,2022-09-09,USNV Ware FPO AA 23142
26,75,0,2022-09-12,"110 Danielle Road Suite 619 Kellymouth, IA 89429"
27,51,0,2022-09-04,"0356 Amanda Mountains West Malloryview, CO 33448"
28,46,0,2022-09-19,"1815 Mendoza Locks Apt. 416 Pattonstad, CA 88420"
29,4,0,2022-09-15,"PSC 3950, Box 8433 APO AE 47900"
30,14,0,2022-09-02,"2539 Gordon Wells Suite 520 Ashleyfort, CA 97656"
31,49,0,2022-09-18,"63879 Moses Falls Nicolefort, MS 43439"
32,59,0,2022-09-02,"90169 Devin Valley Apt. 614 Ballardchester, PA 13985"
33,27,0,2022-09-08,"13638 Kathryn Circles Apt. 210 West Frederickshire, DE 93176"
34,20,0,2022-09-02,"8321 Julia Villages Evansborough, WV 54080"
35,72,0,2022-09-15,"35298 Yolanda Village Apt. 938 Milesview, AR 11763"
36,42,0,2022-09-18,"4436 Steven Village Suite 229 Johnathanshire, MO 48416"
37,15,0,2022-09-06,"76870 Vasquez Divide Suite 995 Richardshire, CA 65811"
38,71,0,2022-09-09,"34148 Andrea Ports Evanberg, SD 43827"
39,6,0,2022-09-08,"80317 Matthew Terrace Suite 071 East Johnfort, MS 57072"
40,71,0,2022-09-18,"4613 Edward Radial Suite 821 Lake Jameston, WY 71621"
41,16,0,2022-09-11,"164 Amber Overpass Apt. 162 Port Brenda, VA 21847"
42,21,0,2022-09-03,"826 Dodson Cliff Apt. 828 Warrenburgh, PA 07662"
43,36,0,2022-09-02,"039 Jennifer Summit Port Nicholas, AR 04543"
44,92,0,2022-09-06,"885 Heather Falls New Christopherview, PA 85734"
45,71,0,2022-09-01,"4235 Ashley Mission Suite 536 South Antonio, WY 59080"
46,85,0,2022-09-09,"43414 Gene Pass Apt. 641 Port Cynthiafort, MO 30889"
47,34,0,2022-09-16,"941 Hughes Springs West Kenneth, LA 70769"
48,55,0,2022-09-15,"7114 Scott Ports Suite 665 Johnbury, NY 96786"
49,59,0,2022-09-09,"7599 Vasquez Canyon Gabrielborough, ID 30501"
50,40,0,2022-09-17,"10024 Chad Isle Suite 091 Port Davidland, DC 24653"
51,29,0,2022-09-19,"432 Jonathan Via Suite 905 Port Regina, NE 11106"
52,65,0,2022-09-16,"444 Sarah Rest Apt. 096 Joseton, MN 70844"
53,8,0,2022-09-14,"062 Robert Motorway Brettview, AZ 61327"
54,91,0,2022-09-18,"176 Mary View Apt. 558 Lake Tiffanyfort, NY 73276"
55,25,0,2022-09-14,Unit 9986 Box 3361 DPO AE 63268
56,54,0,2022-09-19,"10112 Tanya Inlet Apt. 394 Veronicaburgh, KY 19603"
57,33,0,2022-09-06,"27793 Shaw Ramp Apt. 542 Rodriguezmouth, MN 19589"
58,55,0,2022-09-04,"7518 Woodward Park Suite 229 Richardsonside, WA 95398"
59,74,0,2022-09-14,"8956 Cruz Locks Suite 413 Kevinfort, OK 16914"
60,51,0,2022-09-06,"16914 White Pine Franklinberg, TN 20743"
61,29,0,2022-09-08,"84329 Ashley Route Apt. 566 North Patricia, MS 05261"
62,79,0,2022-09-10,"1934 Holt Vista Suite 212 Nathanmouth, MD 31132"
63,8,0,2022-09-13,"598 Tran Mills Davidsonland, UT 27856"
64,57,0,2022-09-19,"37410 Lara Views Suite 843 Karenburgh, MI 70979"
65,11,0,2022-09-18,"1162 Suarez Parkways Apt. 036 South Williamfurt, CO 00675"
66,45,0,2022-09-07,"262 Walls Corner Apt. 444 Richardberg, AZ 35522"
67,39,0,2022-09-12,"50950 Underwood Points Suite 327 Davidview, KY 70680"
68,9,0,2022-09-18,"4671 Salas Cove Stephenstad, MD 10707"
69,47,0,2022-09-08,"PSC 9172, Box 7668 APO AP 97160"
70,47,0,2022-09-06,"1259 Wiggins Lock Lake Shannon, AK 03157"
71,19,0,2022-09-15,"31576 Leslie Summit Suite 934 Port Gregoryhaven, IN 47551"
72,31,0,2022-09-03,"50226 Edward Place South Tracyburgh, AZ 30588"
73,23,0,2022-09-14,"994 Alexandra Field Anitachester, PA 65490"
74,27,0,2022-09-13,"59734 Garcia Common East Laura, OK 31401"
75,19,0,2022-09-12,"0042 Erin Trace New Timothy, CA 48858"
76,14,0,2022-09-01,"33162 Brown Fall Apt. 876 Hendrickshaven, NM 81023"
77,1,0,2022-09-09,"575 Hill Track Lake Sarahfort, AK 95093"
78,38,0,2022-09-02,"1378 Erika Rue Suite 387 New Cindy, TN 58188"
79,87,0,2022-09-01,"723 Rebecca Unions Lake Amanda, CA 16207"
80,84,0,2022-09-08,"PSC 0279, Box 5831 APO AE 65423"
81,25,0,2022-09-01,"1277 Jackson Springs Whitakerview, NJ 45404"
82,59,0,2022-09-07,"75601 Freeman Drive East Kimberly, MS 62528"
